Bid Number,Items,Quantity,Department,Start Date,End Date,Document Link
['GEM/2025/R/584400'],Multimedia Projector (MMP),[2],"['Ministry of Defence'], ['Department of Military Affairs']",['2025-12-02T17:00:00Z'],['2025-12-03T17:14:00Z'],https://bidplus.gem.gov.in/showbidDocument/[8658413]
['GEM/2025/R/584407'],Rice Husk (Dry),[1800],['Food Civil Supplies and Consumer Protection Department Chhattisgarh'],['2025-12-02T17:00:00Z'],['2025-12-03T17:14:52Z'],https://bidplus.gem.gov.in/showbidDocument/[8658467]
['GEM/2025/R/580228'],1250KW SPIRAL BEVEL HELICAL TWO STAGE GEAR REDUCER,[11],"['Ministry of Coal'], ['Materials Management']",['2025-11-25T11:00:00Z'],['2025-12-03T17:16:04Z'],https://bidplus.gem.gov.in/showbidDocument/[8625795]
['GEM/2025/R/584374'],Monthly Basis Cab & Taxi Hiring Services - Sedan; 2500 km x 320 hours; Local 24*7,[2],['Labour and Employment Department Gujarat'],['2025-12-02T17:00:00Z'],['2025-12-03T17:17:02Z'],https://bidplus.gem.gov.in/showbidDocument/[8658268]
['GEM/2025/R/584149'],62.5 KVA Diesel Gen Set,[1],"['Ministry of Defence'], ['Department of Military Affairs']",['2025-12-02T13:00:00Z'],['2025-12-03T17:17:13Z'],https://bidplus.gem.gov.in/showbidDocument/[8656615]
['GEM/2025/R/584318'],bag kit universal,[30906],"['Ministry of Home Affairs'], ['Central Armed Police Forces']",['2025-12-02T16:00:00Z'],['2025-12-03T17:17:14Z'],https://bidplus.gem.gov.in/showbidDocument/[8657898]
['GEM/2025/R/584389'],Hiring of Consultants - Milestone/Deliverable Based - Subject Matter Experts; Engineering Design; N,[1],"['Ministry of Defence'], ['Department of Military Affairs']",['2025-12-02T17:00:00Z'],['2025-12-03T17:17:56Z'],https://bidplus.gem.gov.in/showbidDocument/[8658344]
['GEM/2025/R/584162'],"LINK AS PER MSF DRG NO- HT/85 R3 OF NICHROME STEEL OF CHEMICAL COMPOSITION: C= 0.15-0.25% , Si= 1.5",[6],"['Ministry of Defence'], ['Department of Defence Production']",['2025-12-02T14:00:00Z'],['2025-12-03T17:18:09Z'],https://bidplus.gem.gov.in/showbidDocument/[8656748]
['GEM/2025/R/584398'],"Custom Bid for Services - Supply and Installation of Load cell Single Ended Shear Beam,Custom Bid f",[2],"['Ministry of Defence'], ['Department of Defence Production']",['2025-12-02T17:00:00Z'],['2025-12-03T17:18:30Z'],https://bidplus.gem.gov.in/showbidDocument/[8658407]
['GEM/2025/R/582561'],Enterprise-wide Implementation of Digital Material Gate Pass System,[1],"['Ministry of Petroleum and Natural Gas'], ['NA']",['2025-11-28T17:00:00Z'],['2025-12-03T17:19:04Z'],https://bidplus.gem.gov.in/showbidDocument/[8644765]
